Country Name,ImportGoodsServices_%GDP,Production_Oil_bdp_Cumulated,MVApe_constantUS$_2015,Skill_Level_high_2015,Population_2015,Employment_industry_2015,MVApc_constantUS$_2015
Algeria,34.5811339267,14866.8942361,2110.8518083877,17.14,39871528,4986.65,264
Angola,36.1804058567,18060.18583991,6047.7228424952,9.23,27859305,948.96,206
Australia,21.5189843673,3781.316632982,43186.4731276539,45.16,23850784,2296.36,4158
China,18.9539783443,40259.1772423,13545.6785683679,11.87,1371220000,207317.67,2048
Congo Rep,82.0192100562,2541.998180366,1504.0419828456,5.69,4995648,455.04,137
Cote d'Ivoire,23.9040925738,443.319505951,8432.7230263958,6.37,23108472,419.27,153
Cyprus,63.0720585985,0,11731.3382358229,36.11,1160985,83.43,843
Ecuador,24.2639446946,5184.847897132,7093.2633855704,14.76,16144368,1445.27,635
Egypt,21.3380322728,6344.734912792,6247.2082141496,33.93,93778172,6559.9,437
Gabon,27.9842803374,2270.493270454,14252.6337197478,8.74,1930175,63.92,472
Ghana,51.1044472218,728.6829702826,1418.292948927,8.38,27582821,1769.76,91
Indonesia,21.1698648722,8668.515286451,8306.2416313303,9.87,258162113,25796.81,830
Iraq,39.590741366,32138.8453953,2268.9530783246,20,36115649,1798.66,113
Ireland,95.4372201667,0,156510.995278365,37.13,4701957,383.13,12753
Italy,26.6662714751,934.8572797371,50515.8406582925,35.81,60730582,5818.69,4840
Kazakhstan,26.2103351016,15623.22886115,10437.4694574826,33.64,17542806,1801.77,1072
Kenya,27.800117804,0,2404.7951264214,5.59,47236259,2337.46,119
Lebanon,49.4013848247,0,9650.0617839147,32.76,5851479,426.28,703
Libya,81.2636911083,10481.034733136,,20.43,6234955,548.34,
Mexico,36.2696565252,24799.18168061,14934.6362414641,18.88,125890949,13428.13,1593
Montenegro,61.1593855622,0,5313.9355283097,37.69,622159,36.3,310
Morocco,44.7533253997,1.68,7714.8729874275,7.32,34803322,2138.31,474
Mozambique,76.9641067886,0,3110.2255163225,5.1,28010691,387.26,43
Nigeria,11.5402730313,22355.41881069,7281.1425524634,6.99,181181744,6320.46,254
Norway,31.7161800396,17461.84246575,64754.0969746651,51.45,5190239,533.1,6651
Oman,38.944200095,9081.244800177,7521.2305465539,31.51,4199810,856.02,1533
Pakistan,17.2898090025,768.5118796316,1824.6418314288,20.36,189380513,15153.42,146
Portugal,39.5713908515,0,23955.5580768138,35.19,10358076,1119.02,2588
South Africa,31.4992954372,43.5685081219,13826.1066520343,24.01,55291225,3807.09,952
Timor-Leste,31.3686082184,751.124021259,,14.92,1240977,34.61,
Tunisia,53.078266483,584.2256591812,5003.3207250351,21.39,11273661,1538.96,683
Turkmenistan,,2123.452039824,,18.99,5565284,1100.32,
United Arab Emirates,73.0102179536,29308.02185791,15486.9817206333,36.55,9154302,2111.4,3572
United Kingdom,29.8915593791,10192.183014121,38561.9253139038,47.77,65128861,5926.5,3509
United States,15.5413038669,71820.80425515,68121.9834966722,42.17,321039839,28620.35,6073
Venezuela RB,31.3969861753,24224.26858297,15358.6521274232,18.02,31155134,3168.53,1562
Vietnam,87.7267530616,3110.644816228,2452.8022425826,10.79,93571567,12856.16,337
Gambia,46.9333333333,0,546.9929787234,7.9,1977590,94,26
